fecha,num_casos
2020-02-06,2
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,1
2020-02-12,0
2020-02-13,1
2020-02-14,0
2020-02-15,0
2020-02-16,1
2020-02-17,2
2020-02-18,1
2020-02-19,0
2020-02-20,0
2020-02-21,2
2020-02-22,3
2020-02-23,1
2020-02-24,3
2020-02-25,2
2020-02-26,2
2020-02-27,0
2020-02-28,3
2020-02-29,8
2020-03-01,8
2020-03-02,15
2020-03-03,7
2020-03-04,14
2020-03-05,13
2020-03-06,15
2020-03-07,22
2020-03-08,38
2020-03-09,38
2020-03-10,58
2020-03-11,66
2020-03-12,82
2020-03-13,120
2020-03-14,107
2020-03-15,127
2020-03-16,165
2020-03-17,160
2020-03-18,169
2020-03-19,169
2020-03-20,242
2020-03-21,178
2020-03-22,169
2020-03-23,269
2020-03-24,194
2020-03-25,188
2020-03-26,169
2020-03-27,213
2020-03-28,149
2020-03-29,136
2020-03-30,134
2020-03-31,116
2020-04-01,159
2020-04-02,130
2020-04-03,109
2020-04-04,95
2020-04-05,96
2020-04-06,125
2020-04-07,109
2020-04-08,109
2020-04-09,99
2020-04-10,98
2020-04-11,67
2020-04-12,56
2020-04-13,83
2020-04-14,59
2020-04-15,82
2020-04-16,72
2020-04-17,58
2020-04-18,57
2020-04-19,36
2020-04-20,33
2020-04-21,47
2020-04-22,59
2020-04-23,21
2020-04-24,26
2020-04-25,19
2020-04-26,17
2020-04-27,31
2020-04-28,37
2020-04-29,28
2020-04-30,34
2020-05-01,16
2020-05-02,23
2020-05-03,19
2020-05-04,44
2020-05-05,9
2020-05-06,12
2020-05-07,37
2020-05-08,19
2020-05-09,6
2020-05-10,9
2020-05-11,6
2020-05-12,17
2020-05-13,20
2020-05-14,23
2020-05-15,16
2020-05-16,9
2020-05-17,8
2020-05-18,19
2020-05-19,23
2020-05-20,15
2020-05-21,11
2020-05-22,13
2020-05-23,11
2020-05-24,6
2020-05-25,12
2020-05-26,11
2020-05-27,14
2020-05-28,6
2020-05-29,11
2020-05-30,5
2020-05-31,7
2020-06-01,7
2020-06-02,17
2020-06-03,7
2020-06-04,9
2020-06-05,5
2020-06-06,5
2020-06-07,4
2020-06-08,5
2020-06-09,10
2020-06-10,2
2020-06-11,5
2020-06-12,3
2020-06-13,4
2020-06-14,2
2020-06-15,6
2020-06-16,11
2020-06-17,6
2020-06-18,16
2020-06-19,23
2020-06-20,29
2020-06-21,38
2020-06-22,46
2020-06-23,28
2020-06-24,59
2020-06-25,43
2020-06-26,21
2020-06-27,49
2020-06-28,17
2020-06-29,27
2020-06-30,36
2020-07-01,36
2020-07-02,21
2020-07-03,46
2020-07-04,31
2020-07-05,37
2020-07-06,77
2020-07-07,90
2020-07-08,76
2020-07-09,91
2020-07-10,129
2020-07-11,154
2020-07-12,130
2020-07-13,232
2020-07-14,291
2020-07-15,358
2020-07-16,298
2020-07-17,399
2020-07-18,334
2020-07-19,341
2020-07-20,430
2020-07-21,457
2020-07-22,466
2020-07-23,393
2020-07-24,449
2020-07-25,375
2020-07-26,385
2020-07-27,574
2020-07-28,515
2020-07-29,529
2020-07-30,492
2020-07-31,499
2020-08-01,830
2020-08-02,447
2020-08-03,460
2020-08-04,535
2020-08-05,430
2020-08-06,522
